theta_deg    D(разы)        D(дБ)
 28.6487  2.607577e-01   -5.8376
 28.8289  2.641099e-01   -5.7822
 29.0090  2.674838e-01   -5.7270
 29.1892  2.708793e-01   -5.6722
 29.3694  2.742964e-01   -5.6178
 29.5496  2.777352e-01   -5.5637
 29.7298  2.811955e-01   -5.5099
 29.9099  2.846774e-01   -5.4565
 30.0901  2.881808e-01   -5.4034
 30.2703  2.917056e-01   -5.3506
 30.4505  2.952520e-01   -5.2981
 30.6307  2.988198e-01   -5.2459
 30.8108  3.024090e-01   -5.1941
 30.9910  3.060195e-01   -5.1425
 31.1712  3.096514e-01   -5.0913
 31.3514  3.133046e-01   -5.0403
 31.5316  3.169791e-01   -4.9897
 31.7117  3.206748e-01   -4.9394
 31.8919  3.243916e-01   -4.8893
 32.0721  3.281296e-01   -4.8395
 32.2523  3.318888e-01   -4.7901
 32.4325  3.356689e-01   -4.7409
 32.6126  3.394701e-01   -4.6920
 32.7928  3.432923e-01   -4.6434
 32.9730  3.471354e-01   -4.5950
 33.1532  3.509993e-01   -4.5469
 33.3334  3.548841e-01   -4.4991
 33.5135  3.587896e-01   -4.4516
 33.6937  3.627159e-01   -4.4043
 33.8739  3.666628e-01   -4.3573
 34.0541  3.706303e-01   -4.3106
 34.2343  3.746184e-01   -4.2641
 34.4144  3.786269e-01   -4.2179
 34.5946  3.826559e-01   -4.1719
 34.7748  3.867052e-01   -4.1262
 34.9550  3.907748e-01   -4.0807
 35.1352  3.948647e-01   -4.0355
 35.3154  3.989747e-01   -3.9905
 35.4955  4.031048e-01   -3.9458
 35.6757  4.072549e-01   -3.9013
 35.8559  4.114250e-01   -3.8571
 36.0361  4.156149e-01   -3.8131
 36.2163  4.198247e-01   -3.7693
 36.3964  4.240542e-01   -3.7258
 36.5766  4.283033e-01   -3.6825
 36.7568  4.325719e-01   -3.6394
 36.9370  4.368601e-01   -3.5966
 37.1172  4.411676e-01   -3.5540
 37.2973  4.454944e-01   -3.5116
 37.4775  4.498405e-01   -3.4694
 37.6577  4.542057e-01   -3.4275
 37.8379  4.585899e-01   -3.3858
 38.0181  4.629931e-01   -3.3443
 38.1982  4.674151e-01   -3.3030
 38.3784  4.718558e-01   -3.2619
 38.5586  4.763152e-01   -3.2211
 38.7388  4.807932e-01   -3.1804
 38.9190  4.852896e-01   -3.1400
 39.0991  4.898043e-01   -3.0998
 39.2793  4.943373e-01   -3.0598
 39.4595  4.988884e-01   -3.0200
 39.6397  5.034575e-01   -2.9804
 39.8199  5.080445e-01   -2.9410
 40.0000  5.126494e-01   -2.9018
 40.1802  5.172718e-01   -2.8628
 40.3604  5.219119e-01   -2.8240
 40.5406  5.265694e-01   -2.7854
 40.7208  5.312441e-01   -2.7471
 40.9009  5.359361e-01   -2.7089
 41.0811  5.406452e-01   -2.6709
 41.2613  5.453711e-01   -2.6331
 41.4415  5.501139e-01   -2.5955
 41.6217  5.548734e-01   -2.5581
 41.8018  5.596494e-01   -2.5208
 41.9820  5.644418e-01   -2.4838
 42.1622  5.692504e-01   -2.4470
 42.3424  5.740752e-01   -2.4103
 42.5226  5.789160e-01   -2.3738
 42.7027  5.837726e-01   -2.3376
 42.8829  5.886448e-01   -2.3015
 43.0631  5.935327e-01   -2.2656
 43.2433  5.984359e-01   -2.2298
 43.4235  6.033544e-01   -2.1943
 43.6036  6.082879e-01   -2.1589
 43.7838  6.132364e-01   -2.1237
 43.9640  6.181996e-01   -2.0887
 44.1442  6.231775e-01   -2.0539
 44.3244  6.281698e-01   -2.0192
 44.5045  6.331764e-01   -1.9848
 44.6847  6.381971e-01   -1.9505
 44.8649  6.432317e-01   -1.9163
 45.0451  6.482801e-01   -1.8824
 45.2253  6.533421e-01   -1.8486
 45.4054  6.584175e-01   -1.8150
 45.5856  6.635062e-01   -1.7816
 45.7658  6.686079e-01   -1.7483
 45.9460  6.737226e-01   -1.7152
 46.1262  6.788499e-01   -1.6823
 46.3063  6.839897e-01   -1.6495
 46.4865  6.891418e-01   -1.6169
 46.6667  6.943061e-01   -1.5845
 46.8469  6.994823e-01   -1.5522
 47.0271  7.046703e-01   -1.5201
 47.2072  7.098698e-01   -1.4882
 47.3874  7.150807e-01   -1.4564
 47.5676  7.203027e-01   -1.4248
 47.7478  7.255357e-01   -1.3934
 47.9280  7.307794e-01   -1.3621
 48.1081  7.360336e-01   -1.3310
 48.2883  7.412981e-01   -1.3001
