theta_deg    D(разы)        D(дБ)
128.8288  8.267553e-01   -0.8262
129.0090  8.213558e-01   -0.8547
129.1892  8.159630e-01   -0.8833
129.3693  8.105772e-01   -0.9121
129.5495  8.051985e-01   -0.9410
129.7297  7.998272e-01   -0.9700
129.9099  7.944636e-01   -0.9993
130.0901  7.891078e-01   -1.0286
130.2702  7.837602e-01   -1.0582
130.4504  7.784209e-01   -1.0879
130.6306  7.730901e-01   -1.1177
130.8108  7.677682e-01   -1.1477
130.9910  7.624553e-01   -1.1779
131.1711  7.571516e-01   -1.2082
131.3513  7.518573e-01   -1.2386
131.5315  7.465728e-01   -1.2693
131.7117  7.412981e-01   -1.3001
131.8919  7.360336e-01   -1.3310
132.0720  7.307794e-01   -1.3621
132.2522  7.255357e-01   -1.3934
132.4324  7.203027e-01   -1.4248
132.6126  7.150807e-01   -1.4564
132.7928  7.098698e-01   -1.4882
132.9729  7.046703e-01   -1.5201
133.1531  6.994823e-01   -1.5522
133.3333  6.943061e-01   -1.5845
133.5135  6.891418e-01   -1.6169
133.6937  6.839897e-01   -1.6495
133.8738  6.788499e-01   -1.6823
134.0540  6.737226e-01   -1.7152
134.2342  6.686079e-01   -1.7483
134.4144  6.635062e-01   -1.7816
134.5946  6.584175e-01   -1.8150
134.7747  6.533421e-01   -1.8486
134.9549  6.482801e-01   -1.8824
135.1351  6.432317e-01   -1.9163
135.3153  6.381971e-01   -1.9505
135.4955  6.331764e-01   -1.9848
135.6756  6.281698e-01   -2.0192
135.8558  6.231775e-01   -2.0539
136.0360  6.181996e-01   -2.0887
136.2162  6.132364e-01   -2.1237
136.3964  6.082879e-01   -2.1589
136.5765  6.033544e-01   -2.1943
136.7567  5.984359e-01   -2.2298
136.9369  5.935327e-01   -2.2656
137.1171  5.886448e-01   -2.3015
137.2973  5.837726e-01   -2.3376
137.4774  5.789160e-01   -2.3738
137.6576  5.740752e-01   -2.4103
137.8378  5.692504e-01   -2.4470
138.0180  5.644418e-01   -2.4838
138.1982  5.596494e-01   -2.5208
138.3783  5.548734e-01   -2.5581
138.5585  5.501139e-01   -2.5955
138.7387  5.453711e-01   -2.6331
138.9189  5.406452e-01   -2.6709
139.0991  5.359361e-01   -2.7089
139.2792  5.312441e-01   -2.7471
139.4594  5.265694e-01   -2.7854
139.6396  5.219119e-01   -2.8240
139.8198  5.172718e-01   -2.8628
140.0000  5.126494e-01   -2.9018
140.1801  5.080445e-01   -2.9410
140.3603  5.034575e-01   -2.9804
140.5405  4.988884e-01   -3.0200
140.7207  4.943373e-01   -3.0598
140.9009  4.898043e-01   -3.0998
141.0810  4.852896e-01   -3.1400
141.2612  4.807932e-01   -3.1804
141.4414  4.763152e-01   -3.2211
141.6216  4.718558e-01   -3.2619
141.8018  4.674151e-01   -3.3030
141.9819  4.629931e-01   -3.3443
142.1621  4.585899e-01   -3.3858
142.3423  4.542057e-01   -3.4275
142.5225  4.498405e-01   -3.4694
142.7027  4.454944e-01   -3.5116
142.8828  4.411676e-01   -3.5540
143.0630  4.368601e-01   -3.5966
143.2432  4.325719e-01   -3.6394
143.4234  4.283033e-01   -3.6825
143.6036  4.240542e-01   -3.7258
143.7837  4.198247e-01   -3.7693
143.9639  4.156149e-01   -3.8131
144.1441  4.114250e-01   -3.8571
144.3243  4.072549e-01   -3.9013
144.5045  4.031048e-01   -3.9458
144.6846  3.989747e-01   -3.9905
144.8648  3.948647e-01   -4.0355
145.0450  3.907748e-01   -4.0807
145.2252  3.867052e-01   -4.1262
145.4054  3.826559e-01   -4.1719
145.5856  3.786269e-01   -4.2179
145.7657  3.746184e-01   -4.2641
145.9459  3.706303e-01   -4.3106
146.1261  3.666628e-01   -4.3573
146.3063  3.627159e-01   -4.4043
146.4865  3.587896e-01   -4.4516
146.6666  3.548841e-01   -4.4991
146.8468  3.509993e-01   -4.5469
147.0270  3.471354e-01   -4.5950
147.2072  3.432923e-01   -4.6434
147.3874  3.394701e-01   -4.6920
147.5675  3.356689e-01   -4.7409
147.7477  3.318888e-01   -4.7901
147.9279  3.281296e-01   -4.8395
148.1081  3.243916e-01   -4.8893
148.2883  3.206748e-01   -4.9394
148.4684  3.169791e-01   -4.9897
148.6486  3.133046e-01   -5.0403
148.8288  3.096514e-01   -5.0913
149.0090  3.060195e-01   -5.1425
149.1892  3.024090e-01   -5.1941
149.3693  2.988198e-01   -5.2459
149.5495  2.952520e-01   -5.2981
149.7297  2.917056e-01   -5.3506
149.9099  2.881808e-01   -5.4034
150.0901  2.846774e-01   -5.4565
150.2702  2.811955e-01   -5.5099
150.4504  2.777352e-01   -5.5637
150.6306  2.742964e-01   -5.6178
150.8108  2.708793e-01   -5.6722
150.9910  2.674838e-01   -5.7270
151.1711  2.641099e-01   -5.7822
151.3513  2.607577e-01   -5.8376
151.5315  2.574272e-01   -5.8935
151.7117  2.541184e-01   -5.9496
151.8919  2.508313e-01   -6.0062
152.0720  2.475659e-01   -6.0631
152.2522  2.443224e-01   -6.1204
152.4324  2.411005e-01   -6.1780
152.6126  2.379005e-01   -6.2360
152.7928  2.347223e-01   -6.2945
152.9729  2.315658e-01   -6.3533
153.1531  2.284312e-01   -6.4124
153.3333  2.253184e-01   -6.4720
153.5135  2.222275e-01   -6.5320
153.6937  2.191584e-01   -6.5924
153.8738  2.161112e-01   -6.6532
154.0540  2.130858e-01   -6.7145
154.2342  2.100823e-01   -6.7761
154.4144  2.071006e-01   -6.8382
154.5946  2.041408e-01   -6.9007
154.7747  2.012029e-01   -6.9637
154.9549  1.982869e-01   -7.0271
155.1351  1.953928e-01   -7.0909
155.3153  1.925205e-01   -7.1552
155.4955  1.896701e-01   -7.2200
155.6756  1.868416e-01   -7.2853
155.8558  1.840350e-01   -7.3510
156.0360  1.812503e-01   -7.4172
156.2162  1.784874e-01   -7.4839
156.3964  1.757464e-01   -7.5511
156.5765  1.730272e-01   -7.6189
156.7567  1.703299e-01   -7.6871
156.9369  1.676545e-01   -7.7558
157.1171  1.650009e-01   -7.8251
157.2973  1.623692e-01   -7.8950
157.4774  1.597592e-01   -7.9653
157.6576  1.571711e-01   -8.0363
157.8378  1.546048e-01   -8.1078
158.0180  1.520604e-01   -8.1798
158.1982  1.495377e-01   -8.2525
158.3783  1.470368e-01   -8.3257
158.5585  1.445576e-01   -8.3996
158.7387  1.421003e-01   -8.4741
158.9189  1.396647e-01   -8.5491
159.0991  1.372508e-01   -8.6249
159.2792  1.348586e-01   -8.7012
159.4594  1.324882e-01   -8.7782
159.6396  1.301394e-01   -8.8559
159.8198  1.278124e-01   -8.9343
160.0000  1.255070e-01   -9.0133
160.1801  1.232232e-01   -9.0931
160.3603  1.209611e-01   -9.1735
160.5405  1.187206e-01   -9.2547
160.7207  1.165018e-01   -9.3367
160.9009  1.143045e-01   -9.4194
161.0810  1.121288e-01   -9.5028
161.2612  1.099746e-01   -9.5871
161.4414  1.078420e-01   -9.6721
161.6216  1.057309e-01   -9.7580
161.8018  1.036413e-01   -9.8447
161.9819  1.015732e-01   -9.9322
162.1621  9.952662e-02  -10.0206
162.3423  9.750144e-02  -10.1099
162.5225  9.549770e-02  -10.2001
162.7027  9.351536e-02  -10.2912
162.8828  9.155442e-02  -10.3832
163.0630  8.961485e-02  -10.4762
163.2432  8.769664e-02  -10.5702
163.4234  8.579976e-02  -10.6651
163.6036  8.392419e-02  -10.7611
163.7837  8.206992e-02  -10.8582
163.9639  8.023693e-02  -10.9563
164.1441  7.842519e-02  -11.0554
164.3243  7.663468e-02  -11.1557
164.5045  7.486538e-02  -11.2572
164.6846  7.311728e-02  -11.3598
164.8648  7.139036e-02  -11.4636
165.0450  6.968458e-02  -11.5686
165.2252  6.799993e-02  -11.6749
165.4054  6.633640e-02  -11.7825
165.5855  6.469395e-02  -11.8914
165.7657  6.307258e-02  -12.0016
165.9459  6.147225e-02  -12.1132
166.1261  5.989295e-02  -12.2262
166.3063  5.833465e-02  -12.3407
166.4864  5.679735e-02  -12.4567
166.6666  5.528100e-02  -12.5742
166.8468  5.378560e-02  -12.6933
167.0270  5.231113e-02  -12.8141
167.2072  5.085756e-02  -12.9364
167.3873  4.942487e-02  -13.0605
167.5675  4.801304e-02  -13.1864
167.7477  4.662205e-02  -13.3141
167.9279  4.525189e-02  -13.4436
168.1081  4.390253e-02  -13.5751
168.2882  4.257395e-02  -13.7086
168.4684  4.126613e-02  -13.8441
168.6486  3.997905e-02  -13.9817
168.8288  3.871269e-02  -14.1215
169.0090  3.746704e-02  -14.2635
169.1891  3.624206e-02  -14.4079
169.3693  3.503776e-02  -14.5546
169.5495  3.385409e-02  -14.7039
169.7297  3.269106e-02  -14.8557
169.9099  3.154863e-02  -15.0102
170.0900  3.042678e-02  -15.1674
170.2702  2.932551e-02  -15.3275
170.4504  2.824479e-02  -15.4906
170.6306  2.718461e-02  -15.6568
170.8108  2.614494e-02  -15.8261
170.9909  2.512577e-02  -15.9988
171.1711  2.412708e-02  -16.1750
171.3513  2.314886e-02  -16.3547
171.5315  2.219108e-02  -16.5382
171.7117  2.125373e-02  -16.7256
171.8918  2.033681e-02  -16.9172
172.0720  1.944028e-02  -17.1130
172.2522  1.856413e-02  -17.3133
172.4324  1.770835e-02  -17.5182
172.6126  1.687292e-02  -17.7281
172.7927  1.605783e-02  -17.9431
172.9729  1.526307e-02  -18.1636
173.1531  1.448861e-02  -18.3897
173.3333  1.373445e-02  -18.6219
173.5135  1.300057e-02  -18.8604
173.6936  1.228696e-02  -19.1056
173.8738  1.159360e-02  -19.3578
174.0540  1.092049e-02  -19.6176
174.2342  1.026760e-02  -19.8853
174.4144  9.634930e-03  -20.1615
174.5945  9.022466e-03  -20.4467
174.7747  8.430196e-03  -20.7416
174.9549  7.858109e-03  -21.0468
175.1351  7.306194e-03  -21.3631
175.3153  6.774441e-03  -21.6913
175.4954  6.262839e-03  -22.0323
175.6756  5.771379e-03  -22.3872
175.8558  5.300051e-03  -22.7572
176.0360  4.848847e-03  -23.1436
176.2162  4.417757e-03  -23.5480
176.3963  4.006774e-03  -23.9721
176.5765  3.615889e-03  -24.4178
176.7567  3.245095e-03  -24.8877
176.9369  2.894385e-03  -25.3844
177.1171  2.563752e-03  -25.9112
177.2972  2.253189e-03  -26.4720
177.4774  1.962690e-03  -27.0715
177.6576  1.692251e-03  -27.7154
177.8378  1.441864e-03  -28.4108
178.0180  1.211527e-03  -29.1667
178.1981  1.001233e-03  -29.9946
178.3783  8.109791e-04  -30.9099
178.5585  6.407613e-04  -31.9330
178.7387  4.905764e-04  -33.0929
178.9189  3.604212e-04  -34.4319
179.0990  2.502933e-04  -36.0155
179.2792  1.601904e-04  -37.9536
179.4594  9.011084e-05  -40.4522
179.6396  4.005318e-05  -43.9736
179.8198  1.001643e-05  -49.9929
179.9999  1.012135e-12  -119.9476
